"UCSC_REFGENE_NAME"
"ABCC5"
"ABHD8"
"ABL1"
"ACOT7"
"ACSF3"
"ACTN2"
"ACTR6"
"ACTR8"
"ADAMTS7"
"ADAMTSL2"
"ADAP1"
"ADARB2"
"AGAP1"
"AGRN"
"ALPP"
"AMIGO3"
"AMOTL2"
"ANGEL2"
"ANK1"
"ANKRD10"
"ANKRD11"
"ANKRD33B"
"ANXA11"
"ANXA4"
"AP1M2"
"AP3D1"
"ARFGAP1"
"ARHGAP27"
"ARHGEF10"
"ARL8A"
"ARVCF"
"ATF5"
"ATF6B"
"ATG4B"
"AURKA"
"AURKB"
"AUTS2"
"B2M"
"B3GALT4"
"B3GNTL1"
"BANP"
"BAT2"
"BAT2L2"
"BBC3"
"BCL9L"
"BDNF"
"BEST1"
"BMF"
"BRD9"
"BRSK1"
"BRSK2"
"BRUNOL6"
"BZW1"
"C12ORF5"
"C18ORF1"
"C1ORF109"
"C1ORF183"
"C1ORF25"
"C1ORF26"
"C1ORF70"
"C2CD2L"
"C4ORF49"
"C5ORF47"
"C6ORF147"
"C6ORF174"
"C7ORF50"
"C8ORF88"
"C9ORF89"
"CA3"
"CACNA1A"
"CACNB1"
"CACNB3"
"CAMKK2"
"CAMTA1"
"CASD1"
"CBX2"
"CCDC130"
"CCDC51"
"CCHCR1"
"CCND1"
"CCNG1"
"CD247"
"CD276"
"CD81"
"CDC42BPB"
"CDCA3"
"CDH2"
"CDK4"
"CDKL1"
"CDKN1C"
"CDX1"
"CELSR1"
"CENPT"
"CFAP57"
"CHCHD8"
"CHERP"
"CHFR"
"CHPF"
"CIT"
"CLIP4"
"CLN3"
"CMC1"
"CNNM3"
"CNOT3"
"COL11A2"
"COL18A1"
"COL20A1"
"COL5A1"
"COL9A2"
"COPG2"
"CPLX1"
"CPM"
"CRIP3"
"CRYL1"
"CSTF1"
"CTC-436P18.1"
"CTPS"
"CXCR4"
"CXXC5"
"DACT2"
"DBNDD1"
"DDX24"
"DEPDC5"
"DGKZ"
"DHFR"
"DHX29"
"DHX30"
"DHX35"
"DIDO1"
"DIP2B"
"DIP2C"
"DLEU2"
"DLG4"
"DLGAP2"
"DNAH17"
"DNMT3A"
"DPP10"
"DYNC1H1"
"EBNA1BP2"
"ECE2"
"EDNRB"
"EFNA1"
"EHD1"
"EHD4"
"EHD4-AS1"
"EHMT1"
"EHMT2"
"EIF4EBP2"
"ELMO1"
"ELMOD2"
"EN1"
"EPHB6"
"ERCC2"
"ETS1"
"EXTL1"
"FAF2"
"FAM123A"
"FAM134B"
"FAM195B"
"FAM19A5"
"FAM38A"
"FAM59A"
"FAM65A"
"FAM65B"
"FAM98C"
"FBXL19"
"FBXL7"
"FCHO1"
"FHOD1"
"FLJ40434"
"FLNB"
"FMN2"
"FOXI1"
"FOXO1"
"FTO"
"FUT1"
"GABBR1"
"GAK"
"GALNT9"
"GAS8"
"GCHFR"
"GDAP2"
"GDF6"
"GFRA1"
"GLB1L2"
"GLIPR1L2"
"GNAL"
"GNG7"
"GNMT"
"GOLGA3"
"GPR155"
"GPR161"
"GPRC5C"
"GPT2"
"GSTO2"
"GTF2B"
"GTF2H4"
"GTPBP8"
"HDAC4"
"HIPK2"
"HIST1H2AI"
"HIST1H2BL"
"HIST2H2AB"
"HLA-DOA"
"HLX"
"HMG20B"
"HMGN1"
"HMMR"
"HNF1A"
"HOOK1"
"HOXA11"
"HOXA11AS"
"HOXA6"
"HOXB3"
"HOXB6"
"HOXD10"
"HPN"
"HPS4"
"HPSE2"
"HRH1"
"IGF2"
"IGF2R"
"IGFBP5"
"IL4I1"
"INPP5A"
"INS-IGF2"
"INTS1"
"ISCU"
"ITGA11"
"KATNAL2"
"KBTBD4"
"KCNAB2"
"KCNG2"
"KCNK2"
"KCNN3"
"KCTD16"
"KDM4B"
"KDM6B"
"KHDRBS3"
"KIAA0664"
"KIAA0895"
"KIAA1530"
"KIAA1715"
"KIF18A"
"KIF26A"
"KNDC1"
"KREMEN2"
"LCMT1"
"LHFP"
"LHX9"
"LINC00403"
"LMF1"
"LMNB2"
"LMTK2"
"LOC100130872-SPON2"
"LOC145783"
"LOC404266"
"LOC63930"
"LOC645323"
"LPAR1"
"LPIN1"
"LPO"
"LRP5"
"LRP8"
"LRRC27"
"LRRC43"
"LRRK1"
